english_title,japanese_title,producer,serial,date,category
Super Troll Islands,スーパートロールアイランド 幸せをあげる,ケムコ（コトブキシステム） / Kemco,SHVC-9T / SNS-5L,1994-03-25 / 1993-01-01,Puzzle
Space Ace,スペースエース,イマジニア / Imagineer / Empire Software,SHVC-IS / SNS-5A,1994-03-25 / 1994-05-01,Action
Super Real Mahjong P4,スーパーリアル麻雀P IV,セタ / Seta,SHVC-4S,1994-03-25,Table Game / Mahjong
Champions World Class Soccer,チャンピオンズ ワールドクラスサッカー,アクレイムジャパン / Acclaim Japan / Park Place Prodictions,SHVC-8W / SNS-8W,1994-03-25 / 1994-04-01,Sports / Soccer
Araiguma Rascal (Raccoon Rascal),あらいぐまラスカル,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-R9,1994-03-25,Puzzle
Super Hockey '94,スーパーホッケー'94,"ヨネザワパーティールーム21 / エスパル, イスコ / Yonezawa Party Room 21 / S'PAL, ISCO",SHVC-OX,1994-03-25,Sports / Hockey
Kero Kero Keroppi no Bouken Nikki: Nemureru Mori no Keroriinu,けろけろけろっぴの冒険日記 眠れる森のけろりーぬ,アスキー / キャラクターソフト / ASCII / Character Soft,SHVC-NE,1994-03-25,RPG
Super Gomoku Narabe - Renju,スーパー五目ならべ 連珠,ナグザット / Naxat Soft,SHVC-5N,1994-03-25,Table Game
From TV Animation Slam Dunk - Shikyou Gekitotsu!!,テレビアニメ・スラムダンク 四強激突！！,バンダイ / Bandai,SHVC-UX,1994-03-26,Sports / Basketball
Shin Mahjong,真・麻雀,コナミ / Konami,SHVC-KZ,1994-03-30,Table Game / Mahjong
Muscle Bomber - The Body Explosion,マッスルボマー ザ・ボディー・エクスプロージョン,カプコン / Capcom,SHVC-ZW,1994-03-30,Sports / Wrestling
Andre Agassi Tennis,アンドレ・アガシ テニス,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-7A / SNS-7A,1994-03-31 / 1994-01-01,Sports / Tennis
Super Indy Champ,スーパーインディチャンプ,フォーラム（オープンシステム） / Forum (Open System),SHVC-OI,1994-04-01,Sports / Formula Racing (競馬)
Super Double Yakuman,スーパーダブル役満,バップ / VAP (NTV),SHVC-7V,1994-04-01,Table Game / Mahjong
Final Fantasy 6,ファイナルファンタジーVI,スクウェア / Square,SHVC-F6 / SNS-F6,1994-04-02,RPG / Turn Based
Kouryuuki,項劉記,光栄 / Koei,SHVC-QG,1994-04-06,Strategy
Super Igo - Go Ou,スーパー囲碁 碁王,ナグザット / Naxat Soft,SHVC-IG,1994-04-08,Table Game / Igo
NHL Pro Hockey '94,NHLプロホッケー'94,エレクトロニック・アーツ・ビクター / Electronic Arts Victor,SHVC-4H,1994-04-08,Sports / Hockey
Shien - The Blade Chaser,紫炎 ザ・ブレイドチェイサー,ダイナミック企画 / アルマニック / Dynamic / Almanic,SHVC-OO,1994-04-08,Shooter / Target
Rokudenashi Blues - Taiketsu! Tokyo Shitennou,ろくでなし ブルース 対決！東京四天王,バンダイ / Bandai,SHVC-6X,1994-04-15,Fighting / Hand To Hand
Pink Panther In Pink Goes To Hollywood,ピンクパンサー,アルトロン / Altron,SHVC-YW / SNS-YW,1994-04-15 / 1994-01-01,Action / Side Scrolling
Yume Meikyuu - Kigurumi Daibouken,どりいむめいず 夢迷宮 きぐるみ大冒険,ヘクト / アクシズ アート アミューズ / Hector / Axes Art Amuse,SHVC-QX,1994-04-15,RPG
F-1 Grand Prix Part 3,F1グランプリ パート3,ビデオシステム / Video System,SHVC-VF,1994-04-22,Sports / Formula Racing (競馬)
Marchen Adventure Cotton 100%,コットン100%,データム・ポリスター / サクセス / Datam Polystar / Success,SHVC-C9,1994-04-22,Shooter / Horizontal
Kidou Keisatsu Patlabor,機動警察パトレイバー,ベック / Interbec,SHVC-PX,1994-04-22,Strategy
Super Bomberman 2,スーパーボンバーマン2,ハドソン / プロデュース / Hudson / Produce!,SHVC-M4 / SNS-M4,1994-04-28 / 1994-01-01,Puzzle / Bomberman
Fortune Quest - Dice wo Korogase,フォーチュンクエスト ダイスをころがせ,"バンプレスト, ザムス / Banpresto, Zamuse",SHVC-FQ,1994-04-28,Table Game
Heisei Inu Monogatari Bow - Pop'n Smash!!,平成イヌ物語バウ ポップンスマッシュ！！,タカラ / Takara,SHVC-QQ,1994-04-28,Sports
Ranma 1/2 - Chougi Ranbu Hen,らんま1/2 超技乱舞篇,"小学館プロダクション / 東宝, るーみっくソフト, アトリエドゥーブル / Shogakukan Production / TOHO / Rumic Soft / Atelier Double/",SHVC-5K,1994-04-28,Fighting / Hand To Hand
Dynamaite - The Las Vegas,ダイナマイト・ザ・ラスベガス,ヴァージンゲーム / Virgin Games,SHVC-VQ,1994-04-28,Gambling / Casino
Waratte Iitomo! Tamorin Pick,笑っていいとも！タモリンピック,アテナ / Athena,SHVC-55,1994-04-28,Etc
Super Pachi Slot Mahjong,スーパーパチスロマージャン,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-QU,1994-04-29,Table Game / Mahjong
NBA Jam,NBAジャム,アクレイムジャパン / Acclaim Japan / Iguana Entertainment / Midway,SHVC-8N / SNS-8N,1994-04-29 / 1994-03-01,Sports / Basketball
Nice de Shot World Course Selections,ナイスDEショット,アスク講談社 / 魔法株式会社 / Ask Kodansha / Magical Company,SHVC-NN,1994-04-29,Sports / Golf
Shin Nekketsu Kouha Kunio Tachi no Banka,新・熱血硬派 くにおたちの挽歌,テクノスジャパン / Technos Japan,SHVC-QN,1994-04-29,Action / Beat 'em Up
Dark Kingdom,ダークキングダム,日本テレネット / Telenet Japan,SHVC-QA,1994-04-29,RPG
J. League Excite Stage '94,Jリーグエキサイトステージ'94,エポック社 / 小学館プロダクション / Epoch / Shogakukan Production,SHVC-JL,1994-05-01,Sports / Soccer
Date Kimiko no Virtual Tennis,伊達公子のバーチャルテニス,ビーアイ / B-AI,SHVC-VI,1994-05-13,Sports / Tennis
Pachiokun Special 2,パチ夫くん スペシャル2,ココナッツ・ジャパン / Coconuts Japan,SHVC-OC,1994-05-20,Gambling / Pachinko
SD Gundam GX,SDガンダムGX,バンダイ / Bandai,SHVC-X2,1994-05-27,Strategy
Crayon Shin-chan 2 - Daimaou no Gyakushuu,クレヨンしんちゃん2 ゛大魔王の逆襲″,バンダイ / Bandai,SHVC-UE,1994-05-27,Action
Fighter's History,ファイターズヒストリー,データイースト / Data East,SHVC-YH,1994-05-27,Fighting
Kunio no Oden,くにおのおでん,テクノスジャパン / Technos Japan,SHVC-QO,1994-05-27,Puzzle
Drift King Shutokou Battle '94,ドリフトキング 土屋圭市＆坂東正明 首都高バトル'94,ビー・ピー・エス / 元気 / Bullet-Proof Software / Genki,SHVC-94,1994-05-27,Sports / Street Racing (競馬)
Keiba Yosou Baken Renkinjutsu,勝ち馬予想ソフト 馬券錬金術,ケイエスエス / KSS,SHVC-4K,1994-05-27,Sports / Racing (競馬)
Super Battletank 2,スーパーバトルタンク2,パック・イン・ビデオ / Pack-in-Video / Absolute Entertainment,SHVC-2X / SNS-2X,1994-05-27 / 1994-01-01,Simulation / Tank
Wild Trax,ワイルドトラックス,任天堂 / Nintendo / Argonaut,SHVC-CQ,1994-06-04,Sports / Street Racing (競馬)
Thoroughbred Breeder 2,サラブレッドブリーダーII,ヘクト / hector,SHVC-QW,1994-06-08,Sports / Horse Racing (競馬)
Knights of the Round,ナイツ オブ ザ ラウンド,カプコン / Capcom,SHVC-LO / SNS-LO,1994-06-10 / 1994-01-01,Action / Beat 'em Up
Yuu Yuu Hakusho 2 - Kakutou no Shou,幽☆遊☆白書2 格闘の章,ナムコ / Namcot,SHVC-Y2,1994-06-10,Fighting / Hand To Hand
Popful Mail,ぽっぷるメイル,日本ファルコム / Falcom,SHVC-IW,1994-06-10,Action / RPG
Super Formation Soccer 94 World Cup Edition,スーパーフォーメーションサッカー94 ワールドカップ・エディション,ヒューマン / Human,SHVC-3F,1994-06-17,Sports / Soccer
SD Hiryuu no Ken,SD飛龍の拳,カルチャーブレーン / Culture Brain,SHVC-HL,1994-06-17,Fighting / Hand To Hand
FIFA International Soccer,FIFA インターナショナル・サッカー,ビクターエンタテインメント / エレクトロニック・アーツ / Victor Entertainment / Electronic Arts / Extended Play Productions,SHVC-84 / SNS-84,1994-06-17 / 1994-01-01,Sports / Soccer
Ultima Gaiden - Kurokishi no Inbou,ウルティマ外伝 黒騎士の陰謀,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Origin Systems,SHVC-6V,1994-06-17,Action / RPG
Yamaneko Bubsy no Daibouken,やまねこBUBSYの大冒険,"パック・イン・ビデオ, ポッポ / Pack-in-Video, Poppo / Accolade",SHVC-UY,1994-06-17,Action / Side Scrolling
Kiki Kaikai - Tsukiyo Soushi,奇々怪界 月夜草子,ナツメ / タイトー / Taito / Natsume,SHVC-3N,1994-06-17,Shooter / Vertical
World Cup Striker,ワールドカップストライカー,ココナッツジャパン / GXメディア / Coconuts Japan / GX Media,SHVC-5W,1994-06-17,Sports / Soccer
Super 4WD - The Baja,スーパ4WDーザ・バハ,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu) / Tradewest / LELAND INTERACTIVE MEDIA,SHVC-R8,1994-06-17,Sports / Off Road Racing (競馬)
Super Shougi 2,スーパーしょうぎ2 (将棋2),アイマックス / I'MAX,SHVC-2B,1994-06-17,Table Game / Shougi
Slayers,スレイヤーズ,バンプレスト / Banpresto,SHVC-UZ,1994-06-24,RPG / Turn Based
Jurassic Park,ジュラシック・パーク,ジャレコ / Jaleco / Ocean,SHVC-J8 / SNS-J8,1994-06-24 / 1994-01-01,Action
Bugs Bunny Hachamecha Daibouken,ルーニー・テューンズ バックス・バニー はちゃめちゃ大冒険,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-R7,1994-06-24,Action / Side Scrolling
Super Billiard Championship Pool,スーパービリヤード チャンピオンシッププール,"イマジニア / アウトバック / Imagineer / OUTBACK, Mindscape, Software Toolworks",SHVC-IP,1994-06-24,Sports / Billiards
Super Dogfight - F-14 Tomcat Air Combat Game,スーパードッグファイト,パック・イン・ビデオ / Pack-in-Video / Absolute Entertainment,SHVC-ZN,1994-06-24,Simulation / Flight
Zig Zag Cat - Dachou Club mo Oosawagi da,ジグザグキャット ダチョウ倶楽部も大騒ぎダ,デンズ（アイ・ティー・シー） / DEN'Z(ITC),SHVC-ZP,1994-06-24,RPG / Breakout
Zen Nippon Pro-Wrestling Fight da Pon!,全日本プロレス ファイトだポン！,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-JF,1994-06-25,Sports / Wrestling
Super Street Fighter II Turbo - Hyper Fighting,スーパーストリートファイターIIターボ,カプコン / Capcom,SHVC-XW,1994-06-25,Fighting / Hand To Hand
Brandish,ブランディッシュ,光栄 / 日本ファルコム / Koei / Falcom,SHVC-QF / SNS-QF,1994-06-25 / 1995-02-01,Action / RPG
Taekwon-Do,足台 拳 道 テコンドー,ヒューマン / Human,SHVC-II,1994-06-28,Sports / Martial Arts
World Heroes 2,ワールドヒーローズ2,"ザウルス / エス・エヌ・ケイ, エー・ディー・ケイ / Saurus / SNK, ADK",SHVC-JI / SNS-JI,1994-07-01 / 1994-01-01,Fighting / Hand To Hand
Yuujin no Furi-Furi Girls,遊人のふりふりガールズ,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-U3,1994-07-01,Table Game / Adventure
Slap Stick,スラップスティック,"エニックス / クインテット, エインシェント / Enix / Quintet, Ancient",SHVC-E9 / SNS-E9,1994-07-08,RPG / Turn Based
Beauty and The Beast,美女と野獣,ハドソン / Hudson / Virgin,SHVC-EW / SNS-EW,1994-07-08 / 1994-01-01,Action / Side Scrolling
Tetris Flash,テトリスフラッシュ,"ビー・ピー・エス / 任天堂 / Bullet-Proof Software / Nintendo, Elorg",SHVC-27,1994-07-08,Puzzle / Arranging
Tsuri Tarou,つり太郎,パック・イン・ビデオ / Pack-in-Video,SHVC-2O,1994-07-08,RPG / Fishing (釣り)
Dolucky no A. League Soccer,ドラッキーのAりーぐさっかー,"イマジニア, イマジニアズーム / Imagineer, Imagineer-Zoom",SHVC-Z7,1994-07-08,Sports / Soccer
Bishoujo Senshi Sailor Moon S - Kondo ha Puzzle de Oshioki yo,美少女戦士セーラームーンS こんどはパズルでおしおきよ！！,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-3Q,1994-07-15,Puzzle / Matching
Kabuki Chou Reach Mahjong,歌舞伎町 リーチ麻雀 東風戦,ポニーキャニオン / Pony Canyon,SHVC-IF-(R88V5949),1994-07-15,Table Game / Mahjong
Sansara Naga 2,サンサーラ・ナーガ2,ビクターエンタテインメント / Victor Entertainment,SHVC-IV,1994-07-15,RPG
Battle Zeque Den,バトル ゼクウ 伝,アスミック / Asmik,SHVC-ZQ,1994-07-15,Action / Beat 'em Up
Super F1 Circus 3,スーパーエフワン サーカス3,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-N3,1994-07-15,Sports / Formula Racing (競馬)
Sword World SFC 2 - Inishie no Kyojin Densetsu,ソードワールドSFC2 いにしえの巨人伝説,ティーアンドイーソフト / グループSNE / T&E Soft / Group SNE,SHVC-7M,1994-07-15,RPG
Keeper,キーパー,"データム・ポリスター / サクセス, フューパック / アスキー / Datam Polystar / Success, Fupac / ASCII",SHVC-K9,1994-07-15,Puzzle
The Jungle Book,ジャングルブック,ヴァージンゲーム / Virgin Interactive,SHVC-7K / SNS-7K,1994-07-15 / 1994-07-14,Action / Side Scrolling
Pachi Slot Kenkyuu,パチスロ研究,魔法株式会社（魔法ソフト） / Magical Company,SHVC-77,1994-07-15,Gambling / Pachinko
Pro Mahjong Kiwame 2,プロ麻雀 極II,アテナ / Athena,SHVC-ZO,1994-07-22,Table Game / Mahjong
Super Genjin,スーパー超原人,ハドソン / レッド / Hudson / RED,SHVC-ZH / SNS-ANKE-USA,1994-07-22,Action / Side Scrolling
Goofy to Max - Kaizoku Shima no Daibouken,グーフィーとマックス 海賊島の大冒険,カプコン / Capcom,SHVC-G6,1994-07-22,Puzzle / Logic
Fire Pro Joshi - All Star Dream Slam,ファイプロ女子 オールスタードリームスラム,ヒューマン / Human,SHVC-J4,1994-07-22,Sports / Wrestling
Jigsaw Party,ジグソーパ〜ティ〜,ホリ電機 / Hori Electric,SHVC-Z5 / SNS-Z5,1994-07-22,Puzzle / Jigsaw
Zero 4 Champ RR,ゼロヨンチャンプ ダブルアール,メディアリング / Media Rings,SHVC-Q4,1994-07-22,Sports / Racing (競馬)
Super Ultra Baseball 2,スーパーウルトラベースボール2,カルチャーブレーン / Culture Brain,SHVC-UO,1994-07-28,Sports / Baseball
Hat Trick Hero 2,ハットトリックヒーロー2,タイトー / Taito,SHVC-2Y,1994-07-29,Sports / Soccer
Garou Densetsu Special,餓狼伝説 Special,タカラ / エス・エヌ・ケイ / Takara / SNK,SHVC-3R / SNS-3R,1994-07-29,Fighting / Hand To Hand
World Cup USA '94,ワールドカップUSA94,サンソフト（サン電子） / Sunsoft (Sun Electronics) / Tiertex / U.S. Gold,SHVC-U4,1994-07-29,Sports / Soccer
Super Nichibutsu Mahjong 3 - Yoshimoto Gekijyo Hen,スーパーニチブツマージャン3 吉本劇場篇,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-3J,1994-07-29,Table Game / Mahjong
Lode Runner Twin - Justy to Liberty no Daibouken,ツイン ロードランナー Twin ジャスティとリバティの大冒険,ティーアンドイーソフト / T&E Soft,SHVC-7Z,1994-07-29,Puzzle
Koushien 3,甲子園3,魔法株式会社（魔法ソフト） / Magical Company,SHVC-3V,1994-07-29,Sports / Baseball
Super Pachinko,スーパー！！ パチンコ,アイマックス / I'MAX,SHVC-Q7,1994-07-29,Gambling / Pachinko
Pachi-Slot Monogatari - Universal Special,パチスロ物語 ユニバーサル・スペシャル,ケイエスエス / KSS,SHVC-9K,1994-07-29,Gambling / Pachinko
Tenshi no Uta: Shiroki Tsubasa no Inori,天使の詩 〜白き翼の祈り〜,日本テレネット / Telenet Japan,SHVC-UA,1994-07-29,RPG
Zool no Yume Bouken,ズールのゆめぼうけん,日商岩井インフォコムシステムズ / Infocom / Gremlin Graphics Software,SHVC-Z8,1994-07-29,Action / Shooter
Super Power League 2,スーパーパワーリーグ2,ハドソン / Hudson,SHVC-Z4,1994-08-03,Sports / Baseball
J League Soccer Prime Goal 2,Jリーグサッカー プライムゴール2,ナムコ / Namcot,SHVC-2H,1994-08-05,Sports / Soccer
Kishin Kourinden ONI,鬼神降臨伝ONI,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-HD,1994-08-05,RPG
Genocide 2 (G2),ジェノサイド 2,ケムコ（コトブキシステム） / Kemco / BITS / Zoom,SHVC-2I,1994-08-05,Action
Mahou Poi Poi Poitto!,魔法ぽいぽい ぽいっと！,タカラ / メトロ / Takara / Metro,SHVC-9P,1994-08-05,Puzzle
Super Ninja-kun,す〜ぱ〜忍者くん,ジャレコ / Jaleco,SHVC-8Q,1994-08-05,Action
Ugoku E Ver. 2.0 - Aryol,うごく絵 Ver2.0 アリョール,アルトロン / Altron,SHVC-X3,1994-08-05,Puzzle / Jigsaw
Pinball Pinball,ピンボールピンボール,ココナッツ・ジャパン / スパイダーソフト / Coconuts Japan / Spidersoft,SHVC-7D,1994-08-05,Simulation / Pinball
Super Kokou Yakyuu - Ichikyuu Jikkon,スーパー高校野球 一球入魂,アイマックス / I'MAX,SHVC-Q6,1994-08-05,Sports / Baseball
Super Hanafuda,スーパー花札,アイマックス / I'MAX,SHVC-Q5,1994-08-05,Table Game
The Flintstones - The Treasure of Sierra Madrock,ザ・フリントストーンズ,タイトー / Taito,SHVC-9F,1994-08-12,Action / Platformer
Super Kyuukyoku Harikiri Stadium 2,スーパー究極ハリキリスタジアム2,タイトー / Taito,SHVC-9H,1994-08-12,Sports / Baseball
Super Sangokushi,スーパー三国志,光栄 / Koei,SHVC-I4,1994-08-12,Strategy
Lemmings 2 - The Tribes,レミングス2,サンソフト（サン電子） / Sunsoft (Sun Electronics) / Psygnosis,SHVC-L2 / SNS-L2,1994-08-12 / 1994-11-01,Puzzle / Logic
Super Final Match Tennis,スーパーファイナルマッチテニス,ヒューマン / Human,SHVC-F9,1994-08-12,Sports / Tennis
